"GameID","LeagueIndex","Age","HoursPerWeek","TotalHours","APM","SelectByHotkeys","AssignToHotkeys","UniqueHotkeys","MinimapAttacks","MinimapRightClicks","NumberOfPACs","GapBetweenPACs","ActionLatency","ActionsInPAC","TotalMapExplored","WorkersMade","UniqueUnitsMade","ComplexUnitsMade","ComplexAbilityUsed","MaxTimeStamp"
52,5,27,10,3000,143.718,0.003515159,0.000219697,5.49e-05,0.000109849,0.000392317,0.004849036,32.6677,40.8673,4.7508,0.000219697,0.0013966,4.71e-05,0,0,127448
55,5,23,10,5000,129.2322,0.003303812,0.000259462,6.92e-05,0.000294057,0.000432436,0.004307064,32.9194,42.3454,4.8434,0.000380544,0.0011935,8.65e-05,0,0.00020757,57812
56,4,30,10,200,69.9612,0.001101091,0.00033557,4.19e-05,0.000293624,0.000461409,0.002925755,44.6475,75.3548,4.043,0.000230705,0.00074455,6.29e-05,0,0.00018876,95360
57,3,19,20,400,107.6016,0.001033542,0.000213101,1.07e-05,5.33e-05,0.000543409,0.003782551,29.2203,53.7352,4.9155,0.000202446,0.0004262,7.46e-05,0,0.00038358,93852
58,3,32,10,500,122.8908,0.001136014,0.000327326,3.85e-05,0,0.001328558,0.002368299,22.6885,62.0813,9.374,0.000288817,0.0011745,7.7e-05,0,1.93e-05,51936
60,2,27,6,70,44.457,0.00097839,0.000255232,2.13e-05,0,0,0.002424706,76.4405,98.7719,3.0965,0.000170155,0.00037221,6.38e-05,0,0,94032
61,1,21,8,240,46.9962,0.000820114,0.000168517,6.74e-05,0,4.49e-05,0.001988496,94.0227,90.5311,4.1017,0.000168517,0.00057296,5.62e-05,0,0,89012
72,7,17,42,10000,212.6022,0.009039739,0.00067624,5.97e-05,0.001163531,0.001253033,0.004952464,24.6117,41.7671,6.6104,0.000447512,0.0022773,8.95e-05,0.000129281,0.00024862,100556
77,4,20,14,2708,117.4884,0.002944275,0.000526771,1.88e-05,1.88e-05,0.000413892,0.005399406,52.014,46.4321,3.3746,0.000272792,0.0010347,6.58e-05,0.000272792,0.00047033,106308
81,4,18,24,800,155.9856,0.005053908,0.000524109,9.98e-05,2.5e-05,0.000399321,0.003568933,24.4632,52.1538,6.5664,0.000336927,0.0013103,7.49e-05,0,0,80136
83,3,16,16,6000,153.801,0.001676615,0.000318557,6.71e-05,0,0.000821541,0.003772383,23.4107,48.0711,7.0044,0.000402387,0.0015928,0.000117363,0,1.68e-05,59644
93,4,26,4,190,79.2948,0.000378539,0.000255102,2.47e-05,1.65e-05,0.000164582,0.00355497,39.6381,65.5,4.2269,0.000156353,0.00075708,5.76e-05,0.000106978,0.00026333,121520
97,3,18,12,350,67.4754,0.000422522,0.000169009,1.21e-05,2.41e-05,0.000144865,0.002885219,42.437,68.0502,4.3222,0.000193153,0.00074847,8.45e-05,0,0.00043459,82836
98,3,38,6,1000,119.4366,0.004952043,5.21e-05,3.48e-05,8.69e-05,3.48e-05,0.002727968,54.8718,79.2102,6.2293,0.000364887,0.0014943,8.69e-05,0,0,57552
100,5,16,30,5000,160.4754,0.00425386,0.000431735,2.54e-05,0.000774584,0.000406339,0.004571312,36.2897,46.8889,5.4361,0.000355547,0.0019809,8.89e-05,0,0,78752
102,5,17,16,1500,81.7722,0.002333484,0.000430449,9.06e-05,0,0.000249207,0.002899864,45.1654,64.75,4.5312,0.000339828,0.001246,0.000135931,0,0.00022655,44140
105,4,28,8,2000,50.8374,0.000664109,0.00022137,1.84e-05,1.84e-05,0.00014758,0.002656434,45.7902,76.8889,3.5,0.000239817,0.00066411,0.000110685,0,0.00029516,54208
106,5,20,10,120,160.6464,0.003430344,0.00063363,5.1e-05,0,9.47e-05,0.005535163,28.3636,37.7947,4.7671,0.00021121,0.0027676,7.28e-05,8.74e-05,0.00010196,137304
118,5,16,14,350,107.9118,0.006701306,0.000706102,6.66e-05,1.33e-05,0.000466294,0.00323741,67.0744,71.3251,4.3786,0.000359712,0.0013323,0.000119904,0.000239808,0,75060
127,4,26,28,1100,114.7806,0.002629613,0.000287389,7.18e-05,0.000244281,0.000344867,0.003649845,40.4427,59.937,4.9961,0.000229911,0.0015806,7.18e-05,0,0,69592
132,5,21,10,800,115.1274,0.002651148,0.000660037,8.8e-05,9.9e-05,0.000693039,0.004147232,30.766,49.4854,4.679,0.000330018,0.00082505,8.8e-05,0,0.00051703,90904
138,6,21,6,500,133.7016,0.004499795,0.000420105,2.8e-05,1.87e-05,7.47e-05,0.003874304,21.4686,50.5253,5.4892,0.000270735,0.0010083,9.34e-05,0,0.00056014,107116
139,5,18,20,800,99.5088,0.00073402,0.000108298,1.2e-05,2.41e-05,0.00057759,0.002695418,22.7265,68.7321,6.7054,0.000276762,0.0019614,8.42e-05,0,0,83104
140,5,26,10,500,83.9172,0.002853513,0.000492966,2.84e-05,0,0,0.004607334,51.2082,52.0494,2.8663,0.000293883,0.00065413,8.53e-05,0,0,105484
141,4,17,14,500,216.6936,0.012494649,0.000481592,0.000107021,5.35e-05,0.000107021,0.004334332,27.9255,45.1605,6.3395,0.000481592,0.001204,0.000133776,0,0,37376
142,4,23,20,800,129.8598,0.002315078,0.000333769,3.55e-05,7.81e-05,0.001008408,0.003472617,36.3934,57.5215,6.7587,0.000255653,0.00075276,7.81e-05,0.000284059,0.0012286,140816
144,6,18,70,2520,267.5586,0.027814934,0.00070816,9.84e-05,0,0.000127862,0.005616099,34.6035,40.6025,4.1629,0.00035408,0.00085569,0.000118027,8.85e-05,0.00019671,101672
149,5,25,6,800,74.1174,0.000875,0.000205357,5.36e-05,1.79e-05,4.46e-05,0.003517857,46.4122,71.8173,3.7944,0.000303571,0.00092857,4.46e-05,0,0,112000
154,5,25,20,700,101.6796,0.001406194,0.000427198,8.9e-05,0,0.0001246,0.003453186,26.7979,54.5979,5.3144,0.000391598,0.0010324,7.12e-05,0,0.0005696,56180
158,6,18,10,160,150.5004,0.005666689,0.000631529,0.00010241,0.000375504,0.00040964,0.004625521,30.2222,45.5941,4.9077,0.000238957,0.001007,0.00010241,0,0,58588
160,3,19,6,150,64.6416,0.000672344,0.000336172,7e-06,0.000154079,0.000203104,0.002759413,53.5776,78.2944,4.2284,0.000287147,0.00063733,4.2e-05,7e-05,6.3e-05,142784
161,3,18,8,250,41.9094,0.000275751,0.000190904,0,0,0.000169693,0.002142372,54.4677,91.3069,3.6881,0.000180299,0.00066817,6.36e-05,0,2.12e-05,94288
162,5,16,16,1000,128.0784,0.002753792,9.5e-05,2.53e-05,0.000240561,0.000164594,0.003969259,35.393,56.4019,5.2711,0.000170925,0.00043048,5.06e-05,0,0,157964
163,6,16,28,500,161.3466,0.006109907,0.000577482,6.42e-05,0.000327953,0.0007272,0.00413506,34.1209,47.1034,5.8466,0.000342212,0.0013475,6.42e-05,0.000377859,0.00017111,140264
168,4,22,4,400,90.7686,0.001610454,0.000392794,5.24e-05,0,0.000183304,0.003469676,44.7424,59.5321,4.5698,0.000196397,0.00070703,7.86e-05,0,0.00032733,76376
169,6,20,14,730,162.0876,0.007596727,0.000571635,0.000105301,0.000255731,0.000752151,0.003986401,23.5303,51.034,5.7698,0.000421205,0.0026024,9.03e-05,0,1.5e-05,66476
171,1,18,6,230,69.5076,0.00017507,0.000204248,0.000116713,5.84e-05,0.000204248,0.001458917,45.0612,112.96,9.14,0.000320962,0.00058357,0.000116713,0,0,34272
175,3,16,24,300,81.0702,0.001746793,0.000104286,0,2.61e-05,0.000143393,0.00262019,47.48,75.0846,5.0796,0.000182501,0.00080822,7.82e-05,2.61e-05,3.91e-05,76712
178,5,22,8,300,157.332,0.007742665,0.000223472,1.31e-05,0.000131454,0.000985908,0.003799032,33.0417,57.7716,5.8581,0.000381218,0.0018929,7.89e-05,0,0,76072
180,4,23,4,100,67.6194,0.001565762,0.000398308,5.49e-05,4.12e-05,0.00112625,0.001661905,49.4333,89.9174,7.1322,0.000233491,0.00083782,8.24e-05,9.61e-05,0.0002747,72808
181,2,25,10,200,75.9642,0.000609665,0.000136864,4.98e-05,0.000124421,0.000323496,0.00209028,45.1018,78.3095,6.5417,0.000186632,0.00093316,7.47e-05,0,0,80372
182,5,25,12,200,164.1114,0.003372032,0.000403892,6.57e-05,0.000112714,0.001568605,0.004987601,40.4604,43.7815,5.6365,0.000300571,0.0012774,7.51e-05,0.000216035,0.0010896,106464
184,4,20,14,270,101.7864,0.001453175,0.000538213,3.59e-05,5.38e-05,0.000304987,0.004180122,22.569,54.6094,4.2961,0.000269107,0.00096878,7.18e-05,0,0.00021529,55740
187,2,25,8,100,79.128,0.00050077,8.99e-05,2.57e-05,1.93e-05,0.001720596,0.002754237,50.5327,67.1422,5.345,0.000179764,0.00043657,3.85e-05,0,6.42e-06,155760
193,4,22,20,1200,120.7014,0.005495624,0.000239888,3.63e-05,0,2.18e-05,0.003612864,44.8387,60.9175,4.8089,0.00022535,0.00051612,3.63e-05,0,0,137564
194,6,18,20,800,108.5424,0.002100536,0.000398378,7.24e-05,0,0.000434594,0.003078372,28.4762,61.9294,5.8353,0.000398378,0.0025351,0.000144865,0,0,27612
196,5,18,28,800,84.1578,0.002368245,0.0006004,6.67e-05,0,0,0.00278519,48.8675,77.7485,4.9042,0.000250167,0.00086724,0.000100067,5e-05,0.00010007,59960
201,3,23,2,30,66.7818,0.000685853,0.000168228,2.59e-05,5.18e-05,0.001112894,0.002406957,56.7784,97.9785,4.9355,0.000245872,0.00042704,7.76e-05,0,0,77276
203,6,18,28,2000,129.1464,0.00263107,0.000599729,3.87e-05,7.74e-05,0.000338557,0.005146063,25.0245,43.0827,4.1917,0.000338557,0.00083188,8.71e-05,0.000174115,0.00048365,103380
204,3,18,8,600,62.2194,0.001099196,0.000321716,0,4.02e-05,0.000201072,0.002386059,44.3164,90.8989,4.5393,0.000187668,0.00071046,9.38e-05,0,0.00010724,74600
209,3,20,6,150,72.141,0.001237902,0.000393878,4.69e-05,1.88e-05,0.000271963,0.003376097,45.9164,68.8778,3.7528,0.000225073,0.00079713,7.5e-05,0.000121915,0.00035637,106632
210,4,23,20,100,83.9658,0.002672697,0.000376919,0.000102796,0,0.000171327,0.002912555,44.0476,78.0706,4.6118,0.000342654,0.00071957,0.000102796,0,0,29184
212,5,17,56,540,199.6854,0.005146297,0.000453133,1.62e-05,3.24e-05,0.0002913,0.004790264,25.3831,33.9054,6.7095,0.000469316,0.0020876,0.000113283,0,1.62e-05,61792
213,4,29,12,800,66.6738,0.000320895,4.58e-05,2.29e-05,0,0.000194829,0.002292106,38.5126,72.16,5.46,0.000229211,0.0010314,0.000103145,0.000252132,0.00014899,87256
215,2,27,24,250,73.9722,0.002647278,0.000454884,5.22e-05,7.46e-06,0.000186428,0.002684564,58.8858,88.6889,4.4111,0.000178971,0.00058166,5.97e-05,0.0001044,0.00023863,134100
219,6,21,8,730,130.941,0.004758302,0.00075655,0.000199092,7.96e-05,0.000139364,0.003384566,36.8047,57.2471,5.7765,0.000219001,0.00059728,3.98e-05,0,0,50228
220,2,27,8,280,55.047,0.000642809,0.000126454,0,7.38e-05,9.48e-05,0.002529084,62.8452,83.8667,3.9333,0.000231833,0.00052689,6.32e-05,0,0.00017914,94896
223,6,16,10,1600,181.104,0.00563541,0.000581793,0.000114077,0,0.000456308,0.005007985,20.8037,39.2255,5.6993,0.000342231,0.0017226,9.13e-05,0.000365047,0.001175,87660
225,4,22,36,1000,98.6694,0.004474848,0.000462915,2.57e-05,0.000257175,0.000360045,0.002391729,52.6957,62.5806,5.828,0.000437198,0.0005915,7.72e-05,0,0,38884
226,4,18,6,50,107.4186,0.003028577,0.000310623,5.18e-05,0.000220025,0.000336509,0.003559226,37.3723,56.0436,5.0873,0.000310623,0.00095776,9.06e-05,0,0,77264
228,4,18,4,140,119.8716,0.00254677,0.000416528,3.57e-05,4.76e-05,0.000642643,0.002784786,42.6609,67.6068,7.1496,0.000238016,0.0023445,5.95e-05,0,1.19e-05,84028
229,5,18,24,200,111.8556,0.004400404,0.000625494,0,9.88e-05,0.000197524,0.003917566,48.1798,54.1513,4.3529,0.000340181,0.0010096,8.78e-05,0.000164604,0.00038408,91128
230,3,24,10,200,87.162,0.000398548,6.64e-05,1.11e-05,0.000387477,0.00087459,0.002634842,38.8354,60.0168,6.1975,0.000232486,0.0011181,7.75e-05,0,3.32e-05,90328
234,2,16,24,50,109.038,0.004300867,0.000177855,9.7e-05,0,0,0.003395421,28.555,63.1429,4.8571,0.000210193,0.0010186,9.7e-05,0,8.08e-05,61848
235,6,16,42,700,163.4436,0.005399935,0.000526231,3.24e-05,0.000161917,0.001068653,0.004663212,27.2557,42.4514,5.3681,0.000259067,0.00084197,7.29e-05,0.000170013,0.00029955,123520
240,6,20,16,900,127.6602,0.002737658,0.000577128,7.4e-05,0.000517935,0.000384752,0.003344383,22.6667,64.6372,6.4779,0.000310761,0.0026637,8.88e-05,0,0,67576
